ignore;_value;gdzie;kto;location;source;timestamp;target
16;-76.0;dol;figa;kabaty;ttgo1;2021-01-03 17:07:22.000003600;bathroom_g
17;-74.0;dol;figa;kabaty;ttgo1;2021-01-03 17:08:22.000003600;bathroom_g
18;-84.0;dol;figa;kabaty;ttgo1;2021-01-03 17:09:22.000003600;bathroom_g
19;-77.0;dol;figa;kabaty;ttgo1;2021-01-03 17:10:22.000003600;bathroom_g
20;-79.0;dol;figa;kabaty;ttgo1;2021-01-03 17:11:22.000003600;bathroom_g
21;-85.0;dol;figa;kabaty;ttgo1;2021-01-03 17:12:22.000003600;bathroom_g
22;-110.0;dol;figa;kabaty;ttgo1;2021-01-03 17:13:26.000003600;bathroom_g
23;-82.0;dol;figa;kabaty;ttgo1;2021-01-03 17:14:21.000003600;bathroom_g
24;-82.0;dol;figa;kabaty;ttgo1;2021-01-03 17:15:21.000003600;bathroom_g
25;-70.0;dol;figa;kabaty;ttgo1;2021-01-03 17:16:21.000003600;bathroom_g
26;-72.0;dol;figa;kabaty;ttgo1;2021-01-03 17:17:21.000003600;bathroom_g
27;-82.0;dol;figa;kabaty;ttgo1;2021-01-03 17:18:21.000003600;bathroom_g
28;-82.0;dol;figa;kabaty;ttgo1;2021-01-03 17:19:21.000003600;bathroom_g
29;-85.0;dol;figa;kabaty;ttgo1;2021-01-03 17:20:21.000003600;bathroom_g
0;-89.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:51:21.000003600;bathroom_g
1;-83.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:52:20.000003600;bathroom_g
2;-82.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:53:21.000003600;bathroom_g
3;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:54:23.000003600;bathroom_g
4;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:55:21.000003600;bathroom_g
5;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:56:22.000003600;bathroom_g
6;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:57:22.000003600;bathroom_g
7;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:58:20.000003600;bathroom_g
8;-86.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 16:59:21.000003600;bathroom_g
9;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:00:20.000003600;bathroom_g
10;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:01:21.000003600;bathroom_g
11;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:02:22.000003600;bathroom_g
12;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 17:03:21.000003600;bathroom_g
